"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","159.8000mm","-82.5250mm","Top","270.00"
"C10","176.4500mm","-99.1250mm","Top","180.00"
"C11","176.4500mm","-97.1250mm","Top","180.00"
"C12","183.7000mm","-88.2000mm","Top","270.00"
"C13","176.4500mm","-95.1250mm","Top","180.00"
"C14","130.8750mm","-96.5250mm","Top","90.00"
"C15","137.9250mm","-99.8500mm","Top","270.00"
"C16","130.6000mm","-102.3000mm","Top","180.00"
"C17","135.7000mm","-107.3750mm","Top","0.00"
"C18","135.7000mm","-105.4000mm","Top","0.00"
"C19","132.0000mm","-108.9750mm","Top","0.00"
"C2","121.5500mm","-114.1500mm","Top","270.00"
"C20","182.3500mm","-107.0750mm","Top","180.00"
"C21","163.6000mm","-103.1500mm","Top","90.00"
"C22","160.5750mm","-99.1500mm","Top","180.00"
"C23","180.0500mm","-101.8500mm","Top","270.00"
"C24","178.5750mm","-101.8500mm","Top","90.00"
"C25","156.7500mm","-103.0750mm","Top","90.00"
"C26","187.6375mm","-95.5000mm","Top","270.00"
"C27","191.9125mm","-96.2500mm","Top","180.00"
"C28","155.2750mm","-103.0500mm","Top","90.00"
"C29","189.4875mm","-95.4750mm","Top","270.00"
"C3","108.3761mm","-107.6246mm","Top","90.00"
"C30","106.1375mm","-90.7375mm","Top","270.00"
"C31","108.8000mm","-91.9500mm","Top","180.00"
"C32","107.7125mm","-81.1125mm","Top","0.00"
"C33","107.7125mm","-82.5875mm","Top","0.00"
"C4","121.5500mm","-97.6750mm","Top","270.00"
"C5","121.4000mm","-81.1500mm","Top","270.00"
"C6","140.2250mm","-81.1500mm","Top","0.00"
"C7","140.2500mm","-82.6500mm","Top","0.00"
"C8","129.8125mm","-83.7425mm","Top","90.00"
"C9","131.2875mm","-83.7425mm","Top","90.00"
"D1","118.2000mm","-113.9750mm","Top","180.00"
"D2","118.2000mm","-97.4750mm","Top","180.00"
"D3","118.2000mm","-80.9750mm","Top","180.00"
"D4","184.9625mm","-109.5000mm","Top","180.00"
"D5","180.0375mm","-96.5250mm","Top","90.00"
"J2","182.0000mm","-78.7000mm","Top","180.00"
"J3","192.5625mm","-99.0500mm","Bottom","180.00"
"J4","108.2250mm","-85.8250mm","Bottom","90.00"
"L1","134.5250mm","-99.0250mm","Top","270.00"
"L2","160.3500mm","-107.7250mm","Top","0.00"
"L3","184.3750mm","-96.9000mm","Top","0.00"
"Q1","181.1125mm","-111.2750mm","Top","90.00"
"Q2","189.3125mm","-112.2500mm","Top","180.00"
"Q3","185.6000mm","-113.1875mm","Top","270.00"
"Q4","108.7375mm","-94.5500mm","Top","0.00"
"R1","169.3675mm","-88.0250mm","Top","180.00"
"R10","181.1375mm","-114.3750mm","Top","180.00"
"R11","130.9000mm","-99.8250mm","Top","270.00"
"R12","138.3250mm","-103.5500mm","Top","0.00"
"R13","138.3250mm","-102.0750mm","Top","0.00"
"R14","132.0000mm","-107.5000mm","Top","180.00"
"R15","131.3250mm","-104.9000mm","Top","90.00"
"R16","129.8500mm","-104.9000mm","Top","270.00"
"R17","140.1750mm","-95.3500mm","Top","0.00"
"R18","188.0750mm","-84.9750mm","Top","180.00"
"R19","188.3875mm","-107.6000mm","Top","0.00"
"R2","169.2750mm","-97.3250mm","Top","180.00"
"R20","164.3250mm","-100.0000mm","Top","180.00"
"R21","185.7375mm","-106.8500mm","Top","270.00"
"R22","191.2625mm","-104.5750mm","Top","270.00"
"R23","189.3500mm","-101.6000mm","Top","270.00"
"R24","179.4500mm","-105.0250mm","Top","180.00"
"R25","108.2500mm","-84.6500mm","Top","180.00"
"R26","108.8000mm","-90.4750mm","Top","180.00"
"R27","106.0000mm","-94.5750mm","Top","270.00"
"R28","107.3750mm","-97.0500mm","Top","0.00"
"R3","140.5250mm","-92.6250mm","Top","270.00"
"R4","140.5000mm","-89.1000mm","Top","90.00"
"R5","152.8750mm","-96.8750mm","Top","90.00"
"R6","149.0250mm","-96.8500mm","Top","90.00"
"R7","151.1000mm","-96.8500mm","Top","90.00"
"R8","132.4875mm","-81.1925mm","Top","0.00"
"R9","192.3375mm","-112.2500mm","Top","90.00"
"SW1","166.0675mm","-83.9000mm","Top","0.00"
"SW2","166.0675mm","-92.3500mm","Top","0.00"
"TH1","189.3500mm","-104.5750mm","Top","270.00"
"U1","106.1661mm","-107.5746mm","Top","90.00"
"U2","149.7000mm","-84.8500mm","Top","0.00"
"U3","134.1250mm","-84.0425mm","Top","270.00"
"U4","180.5250mm","-87.7000mm","Top","270.00"
"U5","134.5000mm","-102.8350mm","Top","0.00"
"U6","181.3500mm","-84.9750mm","Top","270.00"
"U7","184.9125mm","-102.1250mm","Top","90.00"
"U8","160.1750mm","-102.6250mm","Top","90.00"
"U9","108.3250mm","-87.5375mm","Top","180.00"
