Designator,Mid X,Mid Y,Rotation,Layer
C1,162.625,-82.4,270.0,top
C10,187.1,-110.45,270.0,top
C11,185.625,-110.45,270.0,top
C12,184.15,-110.45,270.0,top
C13,132.125,-110.325,90.0,top
C14,182.65,-87.35,270.0,top
C15,138.55,-113.275,270.0,top
C16,131.95,-116.1,180.0,top
C17,136.325,-119.925,0.0,top
C18,136.325,-118.45,0.0,top
C19,133.35,-122.025,0.0,top
C2,121.125,-114.15,270.0,top
C20,182.9,-100.325,180.0,top
C21,161.975,-116.725,90.0,top
C22,159.725,-113.55,180.0,top
C23,181.4,-95.675,270.0,top
C24,179.925,-95.675,90.0,top
C25,156.575,-116.725,90.0,top
C26,187.45,-92.675,270.0,top
C27,191.875,-91.1,180.0,top
C28,188.925,-92.675,270.0,top
C29,130.0625,-97.575,180.0,top
C3,109.21,-100.1675,90.0,top
C30,134.1125,-100.0,180.0,top
C31,130.4875,-95.25,270.0,top
C32,129.0125,-95.25,270.0,top
C4,121.125,-97.675,270.0,top
C5,120.975,-81.15,270.0,top
C6,143.075,-81.7,0.0,top
C7,143.1,-83.2,0.0,top
C8,130.8625,-83.4875,90.0,top
C9,132.3375,-83.4875,90.0,top
D1,118.2,-113.975,0.0,top
D2,118.2,-97.475,0.0,top
D3,118.2,-80.975,0.0,top
D4,184.3375,-103.3,180.0,top
D5,177.45,-95.725,90.0,top
H1,107.5,-77.5,0.0,top
H2,107.5,-122.5,0.0,top
H3,192.5,-77.5,0.0,top
H4,192.5,-122.5,0.0,top
J1,133.7625,-87.4625,0.0,top
J2,182.0,-78.7,180.0,top
J3,193.175,-97.3,270.0,top
J4,134.1125,-102.725,0.0,top
L1,135.15,-112.45,270.0,top
L2,159.4,-120.45,0.0,top
L3,184.4,-92.075,0.0,top
Q1,182.0875,-105.1,270.0,top
Q2,189.4125,-106.075,0.0,top
Q3,185.7,-107.0125,90.0,top
Q4,139.425,-97.25,180.0,top
R1,171.7,-88.025,180.0,top
R10,182.2,-107.9,180.0,top
R14,132.125,-113.3,270.0,top
R15,138.775,-116.975,0.0,top
R16,138.775,-115.5,0.0,top
R17,133.35,-120.55,180.0,top
R18,132.675,-118.325,90.0,top
R19,131.2,-118.325,270.0,top
R2,171.7,-96.525,180.0,top
R20,162.725,-114.5,180.0,top
R21,185.125,-101.075,270.0,top
R22,190.825,-99.425,270.0,top
R23,189.35,-96.425,270.0,top
R24,180.8,-98.85,180.0,top
R25,133.5125,-93.2,180.0,top
R26,134.1125,-98.525,180.0,top
R27,139.3375,-94.8,180.0,top
R28,136.7375,-97.3,90.0,top
R3,143.85,-93.2,270.0,top
R4,143.85,-90.225,90.0,top
R5,152.2,-97.4,90.0,top
R6,153.7,-97.4,90.0,top
R7,155.2,-97.4,90.0,top
R8,133.5375,-80.9375,0.0,top
R9,192.125,-106.075,90.0,top
SW1,168.4,-83.9,0.0,top
SW2,168.4,-92.35,0.0,top
SW3,118.5,-116.5,0.0,top
SW4,118.5,-100.0,0.0,top
SW5,118.5,-83.5,0.0,top
TH1,189.35,-99.4,270.0,top
U1,107.475,-100.1175,90.0,top
U2,152.55,-85.4,0.0,top
U3,135.175,-83.7875,270.0,top
U4,180.525,-86.8,270.0,top
U5,135.125,-116.26,0.0,top
U6,181.35,-84.4125,270.0,top
U7,184.9125,-96.95,90.0,top
U8,159.275,-116.25,90.0,top
U9,133.5875,-96.0875,0.0,top
